x	Sin(x)	Cos(x)
-2.51264517539364	-0.588293965200805	-0.808647148333755
-2.50635570061168	-0.59336826183762	-0.804931118695135
-2.50006622582972	-0.598419086390927	-0.801183248104357
-2.49377675104775	-0.603446239063426	-0.797403684817299
-2.48748727626579	-0.608449520994217	-0.793592578343515
-2.48119780148383	-0.613428734266662	-0.789750079440326
-2.47490832670187	-0.618383681916215	-0.785876340106855
-2.46861885191991	-0.623314167938217	-0.781971513578013
-2.46232937713795	-0.628219997295642	-0.77803575431844
-2.45603990235598	-0.633100975926821	-0.77406921801639
-2.44975042757402	-0.637956910753112	-0.770072061577581
-2.44346095279206	-0.642787609686539	-0.766044443118978
-2.4371714780101	-0.647592881637394	-0.761986521962545
-2.43088200322814	-0.652372536521791	-0.757898458628941
-2.42459252844618	-0.657126385269189	-0.753780414831169
-2.41830305366422	-0.661854239829868	-0.749632553468182
-2.41201357888225	-0.666555913182372	-0.745455038618436
-2.40572410410029	-0.671231219340903	-0.7412480355334
-2.39943462931833	-0.675879973362679	-0.737011710631021
-2.39314515453637	-0.680501991355252	-0.73274623148914
-2.38685567975441	-0.685097090483781	-0.728451766838861
-2.38056620497245	-0.689665088978262	-0.72412848655788
-2.37427673019048	-0.694205806140723	-0.719776561663763
-2.36798725540852	-0.698719062352367	-0.715396164307182
-2.36169778062656	-0.703204679080684	-0.710987467765102
-2.3554083058446	-0.707662478886504	-0.706550646433932
-2.34911883106264	-0.712092285431026	-0.702085875822622
-2.34282935628068	-0.716493923482783	-0.697593332545723
-2.33653988149872	-0.720867218924585	-0.693073194316397
-2.33025040671675	-0.725211998760397	-0.688525639939392
-2.32396093193479	-0.729528091122188	-0.683950849303966
-2.31767145715283	-0.733815325276728	-0.67934900337677
-2.31138198237087	-0.738073531632339	-0.674720284194693
-2.30509250758891	-0.74230254174561	-0.670064874857657
-2.29880303280695	-0.746502188328052	-0.665382959521379
-2.29251355802498	-0.750672305252725	-0.660674723390081
-2.28622408324302	-0.754812727560799	-0.655940352709168
-2.27993460846106	-0.758923291468089	-0.651180034757856
-2.2736451336791	-0.763003834371527	-0.646393957841769
-2.26735565889714	-0.767054194855599	-0.641582311285488
-2.26106618411518	-0.771074212698725	-0.63674528542506
-2.25477670933321	-0.775063728879602	-0.631883071600472
-2.24848723455125	-0.779022585583491	-0.626995862148078
-2.24219775976929	-0.782950626208463	-0.622083850392996
-2.23590828498733	-0.78684769537159	-0.617147230641455
-2.22961881020537	-0.790713638915094	-0.612186198173114
-2.22332933542341	-0.794548303912444	-0.607200949233331
-2.21703986064145	-0.798351538674406	-0.60219168102541
-2.21075038585948	-0.802123192755044	-0.597158591702786
-2.20446091107752	-0.805863116957669	-0.592101880361201
-2.19817143629556	-0.809571163340744	-0.587021747030819
-2.1918819615136	-0.813247185223733	-0.581918392668315
-2.18559248673164	-0.816891037192905	-0.57679201914893
-2.17930301194968	-0.820502575107088	-0.571642829258479
-2.17301353716771	-0.824081656103364	-0.566471026685334
-2.16672406238575	-0.827628138602731	-0.561276816012365
-2.16043458760379	-0.831141882315694	-0.556060402708848
-2.15414511282183	-0.834622748247817	-0.550821993122334
-2.14785563803987	-0.838070598705226	-0.545561794470492
-2.14156616325791	-0.84148529730005	-0.540280014832907
-2.13527668847595	-0.844866708955818	-0.534976863142852
-2.12898721369398	-0.848214699912802	-0.52965254917902
-2.12269773891202	-0.851529137733311	-0.524307283557232
-2.11640826413006	-0.854809891306926	-0.518941277722096
-2.1101187893481	-0.858056830855688	-0.513554743938652
-2.10382931456614	-0.861269827939231	-0.508147895283969
-2.09753983978418	-0.864448755459865	-0.502720945638722
-2.09125036500221	-0.867593487667601	-0.497274109678724
-2.08496089022025	-0.870703900165128	-0.491807602866442
-2.07867141543829	-0.873779869912728	-0.486321641442467
-2.07238194065633	-0.876821275233154	-0.480816442416964
-2.06609246587437	-0.879827995816429	-0.47529222356109
-2.05980299109241	-0.88279991272462	-0.469749203398371
-2.05351351631045	-0.885736908396529	-0.464187601196066
-2.04722404152848	-0.888638866652356	-0.458607636956491
-2.04093456674652	-0.891505672698284	-0.453009531408314
-2.03464509196456	-0.894337213131027	-0.447393505997827
-2.0283556171826	-0.897133375942314	-0.441759782880183
-2.02206614240064	-0.899894050523318	-0.436108584910611
-2.01577666761868	-0.902619127669034	-0.430440135635598
-2.00948719283671	-0.905308499582597	-0.424754659284048
-2.00319771805475	-0.907962059879546	-0.41905238075841
-1.99690824327279	-0.910579703592036	-0.413333525625784
-1.99061876849083	-0.913161327172983	-0.407598320108996
-1.98432929370887	-0.915706828500169	-0.401846991077651
-1.97803981892691	-0.918216106880274	-0.396079766039157
-1.97175034414495	-0.920689063052863	-0.390296873129725
-1.96546086936298	-0.923125599194312	-0.384498541105349
